Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
Rp 7 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,350 m2,408 m2,SHM,-
"Rp 8,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,403 m2,873 m2,SHM,-
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",Rumah,Secondary,200 m2,100 m2,SHM,Non-furnished
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,150 m2,200 m2,SHM,-
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,100 m2,167 m2,SHM,Semi-furnished
"Rp 1,05 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,67 m2,120 m2,SHM,-
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,120 m2,105 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,135 m2,214 m2,SHM,-
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,122 m2,128 m2,SHM,-
Rp 850 Juta,"Kalimantan Timur, Samarinda, Sambutan",Rumah,Secondary,400 m2,255 m2,SHM,Semi-furnished
"Rp 5,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,380 m2,444 m2,SHM,-
"Rp 1,75 Miliar Rp 60 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,90 m2,128 m2,SHM,Non-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Secondary,150 m2,356 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,200 m2,243 m2,SHM,-
Rp 650 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,136 m2,213 m2,Lain-lain,-
"Rp 2,5 Miliar Rp 75 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,250 m2,300 m2,SHM,-
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,391 m2,391 m2,SHM,-
Rp 500 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,100 m2,150 m2,SHM,-
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,90 m2,200 m2,SHM,-
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,129 m2,150 m2,SHM,-
"Rp 1,44 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,243 m2,552 m2,SHM,-
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,200 m2,200 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,320 m2,240 m2,HGB,-
"Rp 837,19 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,34 m2,96 m2,HGB,-
"Rp 1,54 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,45 m2,140 m2,HGB,-
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,105 m2,120 m2,SHM,-
"Rp 704,35 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,38 m2,108 m2,HGB,-
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,100 m2,150 m2,SHM,Fully-furnished
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,120 m2,120 m2,SHM,Semi-furnished
Rp 388 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,145 m2,160 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,150 m2,120 m2,SHM,-
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,75 m2,150 m2,SHM,-
"Rp 1,55 Miliar Rp 55 Juta","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,170 m2,200 m2,SHM,-
"Rp 560,12 Juta","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,39 m2,72 m2,HGB,-
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,400 m2,367 m2,SHM,-
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,187.5 m2,150 m2,SHM,-
"Rp 1,6 Miliar Rp 45 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,59 m2,105 m2,HGB,Semi-furnished
"Rp 2,98 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,186 m2,180 m2,SHM,Non-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,172 m2,150 m2,SHM,Non-furnished
"Rp 2,1 Miliar Rp 45 Juta","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,89 m2,227 m2,SHM,-
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
Rp 450 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,100 m2,150 m2,Lain-lain,-
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,269 m2,246 m2,SHM,Semi-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,81.63 m2,72 m2,SHM,-
Rp 27 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,800 m2,1750 m2,SHM,Non-furnished
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,220 m2,288 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kunjang",Rumah,Secondary,120 m2,447 m2,SHM,Semi-furnished
"
Rp 3 Miliar
","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,282 m2,382 m2,SHM,-
"Rp 3,56 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Primary,197 m2,225 m2,HGB,Non-furnished
"Rp 2,98 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Primary,186 m2,180 m2,HGB,Non-furnished
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,80 m2,100 m2,SHM,Fully-furnished
Rp 920 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,38 m2,98 m2,HGB,-
"Rp 621,04 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,45 m2,105 m2,PPJB,-
"Rp 853,67 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,57 m2,120 m2,PPJB,-
Rp 816 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,48 m2,105 m2,HGB,Non-furnished
"Rp 1,51 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,96 m2,201 m2,HGB,Non-furnished
"Rp 2,26 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,157 m2,280 m2,HGB,Non-furnished
"Rp 1,57 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,110 m2,215 m2,HGB,Non-furnished
Rp 548 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Primary,27 m2,84 m2,HGB,Non-furnished
Rp 970 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,90 m2,98 m2,SHM,Semi-furnished
"Rp 3,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,250 m2,320 m2,SHM,Semi-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,200 m2,298 m2,SHM,-
Rp 475 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,45 m2,120 m2,SHM,Semi-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,124 m2,162 m2,SHM,-
Rp 800 Juta,"Kalimantan Timur, Samarinda, Sambutan",Rumah,Secondary,63 m2,200 m2,Lain-lain,-
"Rp 4,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,450 m2,300 m2,SHM,-
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,380 m2,400 m2,SHM,Semi-furnished
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,180 m2,330 m2,SHM,-
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,230 m2,150 m2,SHM,-
"Rp 3,56 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Primary,197 m2,225 m2,HGB,-
"Rp 499,06 Juta","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,39 m2,72 m2,PPJB,-
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,200 m2,300 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,96 m2,135 m2,SHM,-
"Rp 2,7 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,230 m2,240 m2,SHM,-
"Rp 3,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,300 m2,345 m2,SHM,-
"Rp 1,65 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,150 m2,150 m2,SHM,-
Rp 900 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Secondary,240 m2,240 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,200 m2,298 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,200 m2,210 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,260 m2,180 m2,SHM,Semi-furnished
"Rp 1,02 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,94 m2,180 m2,SHM,Non-furnished
"Rp 7,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,250 m2,225 m2,SHM,Semi-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,144 m2,128 m2,HGB,Semi-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,900 m2,1100 m2,HGB,Semi-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Primary,165 m2,200 m2,HGB,Semi-furnished
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,350 m2,200 m2,SHM,-
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,136 m2,136 m2,SHM,-
Rp 690 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,65 m2,155 m2,SHM,Non-furnished
Rp 4 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,300 m2,345 m2,SHM,-
"Rp 4,9 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,450 m2,300 m2,SHM,-
Rp 675 Juta,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,Secondary,80 m2,120 m2,HGB,-
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,147 m2,247 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,300 m2,200 m2,SHM,-
"
Rp 3,55 Miliar
","Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,-,240 m2,199 m2,HGB,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,179 m2,204 m2,SHM,Semi-furnished
Rp 11 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,560 m2,450 m2,SHM,-
Rp 11 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,260 m2,460 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,96 m2,126 m2,HGB,-
"Rp 2,76 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,96 m2,147 m2,HGB,-
"Rp 1,64 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,82 m2,140 m2,HGB,-
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",Rumah,Secondary,156 m2,191 m2,SHM,Non-furnished
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
"Rp 3,56 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,197 m2,225 m2,HGB,Non-furnished
"Rp 2,3 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,250 m2,181 m2,SHM,-
Rp 600 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,Secondary,90 m2,105 m2,SHM,-
"Rp 1,55 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,120 m2,144 m2,SHM,-
Rp 28 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,216 m2,2324 m2,SHM,Non-furnished
Rp 700 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,108 m2,108 m2,SHM,-
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,90 m2,226 m2,SHM,Non-furnished
Rp 750 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,112 m2,72 m2,SHM,-
"Rp 4,5 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,329 m2,885 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,241 m2,250 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,320 m2,190 m2,SHM,-
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,1400 m2,625 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,369 m2,203 m2,SHM,-
Rp 7 Miliar,"Kalimantan Timur, Samarinda, Loa Janan Ilir",Rumah,-,800 m2,1075 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Secondary,285 m2,300 m2,SHM,-
"Rp 3,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,190 m2,196 m2,SHM,Fully-furnished
"Rp 1,45 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,200 m2,210 m2,SHM,-
"Rp 1,7 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,128 m2,128 m2,SHM,-
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,-,200 m2,289 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,240 m2,240 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,0 m2,240 m2,SHM,-
Rp 1 Miliar,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,-,160 m2,200 m2,SHM,-
Rp 600 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,-,49 m2,120 m2,HGB,-
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,320 m2,280 m2,SHM,-
Rp 850 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,-,104 m2,170 m2,Lain-lain,-
"Rp 1,8 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",Rumah,Secondary,300 m2,200 m2,SHM,-
"Rp 1,62 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",Rumah,Primary,84 m2,105 m2,HGB,Non-furnished
"Rp 2,08 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Primary,93 m2,140 m2,HGB,Non-furnished
"Rp 3,8 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,385 m2,391 m2,SHM,-
Rp 980 Juta,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,150 m2,150 m2,SHM,-
Rp 6 Miliar,"Kalimantan Timur, Samarinda, Samarinda Seberang",Rumah,-,518 m2,518 m2,SHM,-
Rp 490 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",Rumah,Secondary,45 m2,91 m2,SHM,Non-furnished
Rp 400 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,38 m2,75 m2,SHM,-
"Rp 3,56 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",Rumah,Secondary,197 m2,225 m2,SHM,Non-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,-,128 m2,128 m2,SHM,-
Rp 875 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",Rumah,Secondary,98 m2,98 m2,SHM,Non-furnished
